question,context,answer,page
What is the capital of France?,"France is a country in Europe. Its capital is Paris, which is known for its art, fashion, and culture.",Paris,1
When was the Declaration of Independence signed?,"The Declaration of Independence was signed on August 2, 1776, though it was adopted on July 4th.","August 2, 1776",2
What is the chemical symbol for gold?,Gold is a chemical element with the symbol Au (from Latin: aurum) and atomic number 79.,Au,3
Who wrote 'Romeo and Juliet'?,"William Shakespeare, the famous English playwright, wrote 'Romeo and Juliet' in the late 16th century.",William Shakespeare,4
What is the largest planet in our solar system?,"Jupiter is the largest planet in our solar system, with a mass more than two and a half times that of all other planets combined.",Jupiter,5
What is the boiling point of water at sea level?,"At sea level, water boils at 100 degrees Celsius (212 degrees Fahrenheit) under standard atmospheric pressure.",100 degrees Celsius,6
Who painted the Mona Lisa?,The Mona Lisa was painted by the Italian Renaissance artist Leonardo da Vinci in the early 16th century.,Leonardo da Vinci,7
What is the main component of the Sun?,"The Sun is primarily composed of hydrogen (about 73%) and helium (about 25%), with trace amounts of heavier elements.",Hydrogen,8
What year did World War II end?,"World War II officially ended on September 2, 1945, when Japan formally surrendered aboard the USS Missouri.",1945,9
What is the tallest mountain on Earth?,"Mount Everest, located in the Mahalangur Himal sub-range of the Himalayas, is Earth's highest mountain above sea level at 8,848 meters.",Mount Everest,10
Who invented the telephone?,"Alexander Graham Bell is credited with inventing the first practical telephone in 1876, though there were other inventors working on similar technologies.",Alexander Graham Bell,11
What is the currency of Japan?,"The official currency of Japan is the yen, denoted by the symbol ¥ and the code JPY.",Yen,12
How many continents are there?,"There are seven continents: Africa, Antarctica, Asia, Europe, North America, South America, and Australia/Oceania.",7,13
What is photosynthesis?,"Photosynthesis is the process by which green plants and some other organisms use sunlight to synthesize foods with carbon dioxide and water, generating oxygen as a byproduct.",Process plants use sunlight to make food,14
Who was the first president of the United States?,"George Washington, a Founding Father and commander of the Continental Army, became the first president of the United States in 1789.",George Washington,15
What is the speed of light in a vacuum?,"The speed of light in a vacuum is approximately 299,792 kilometers per second (186,282 miles per second).","299,792 km/s",16
What is the largest ocean on Earth?,"The Pacific Ocean is the largest and deepest of Earth's oceanic divisions, covering about 63 million square miles.",Pacific Ocean,17
Who discovered penicillin?,"Scottish scientist Alexander Fleming discovered penicillin in 1928, the world's first antibiotic substance.",Alexander Fleming,18
What is the capital of Australia?,"Canberra is the capital city of Australia, located in the Australian Capital Territory inland from the country's southeast coast.",Canberra,19
How many bones are in the adult human body?,"The adult human skeleton typically consists of 206 bones, though this number can vary slightly between individuals.",206,20
