contexts,questions,answers
"Mount Everest is the highest mountain in the world, located in the Himalayas on the border of Nepal and China.",Where is Mount Everest located?,On the border of Nepal and China
"The Roman Empire was one of the most powerful civilizations in history, known for its architecture and governance.",What was the Roman Empire known for?,Its architecture and governance
"Leonardo da Vinci painted the Mona Lisa, which is considered one of the most famous artworks in the world.",Who painted the Mona Lisa?,Leonardo da Vinci
The Moon orbits the Earth and takes approximately 27.3 days to complete one orbit.,How long does it take for the Moon to orbit the Earth?,27.3 days
The Moon orbits the Earth and takes approximately 27.3 days to complete one orbit.,How long does it take for the Moon to orbit the Earth?,27.3 days
"The Pacific Ocean is the largest and deepest ocean on Earth, covering more than 63 million square miles.",Which is the largest ocean on Earth?,The Pacific Ocean
"Albert Einstein developed the theory of relativity, which revolutionized the understanding of space, time, and gravity.",What theory did Albert Einstein develop?,The theory of relativity
The Amazon Rainforest is known for its biodiversity. It is the largest tropical rainforest in the world.,What is the Amazon Rainforest known for?,Its biodiversity
The Moon orbits the Earth and takes approximately 27.3 days to complete one orbit.,How long does it take for the Moon to orbit the Earth?,27.3 days
"Mount Everest is the highest mountain in the world, located in the Himalayas on the border of Nepal and China.",Where is Mount Everest located?,On the border of Nepal and China
"The Roman Empire was one of the most powerful civilizations in history, known for its architecture and governance.",What was the Roman Empire known for?,Its architecture and governance
Photosynthesis is the process by which green plants use sunlight to synthesize foods from carbon dioxide and water.,What is photosynthesis?,The process by which plants make food using sunlight
"Leonardo da Vinci painted the Mona Lisa, which is considered one of the most famous artworks in the world.",Who painted the Mona Lisa?,Leonardo da Vinci
"Leonardo da Vinci painted the Mona Lisa, which is considered one of the most famous artworks in the world.",Who painted the Mona Lisa?,Leonardo da Vinci
"Albert Einstein developed the theory of relativity, which revolutionized the understanding of space, time, and gravity.",What theory did Albert Einstein develop?,The theory of relativity
"The Great Wall of China stretches over 13,000 miles and was built to protect Chinese states from invasions.",Why was the Great Wall of China built?,To protect Chinese states from invasions
"The Great Wall of China stretches over 13,000 miles and was built to protect Chinese states from invasions.",Why was the Great Wall of China built?,To protect Chinese states from invasions
The Moon orbits the Earth and takes approximately 27.3 days to complete one orbit.,How long does it take for the Moon to orbit the Earth?,27.3 days
"The Roman Empire was one of the most powerful civilizations in history, known for its architecture and governance.",What was the Roman Empire known for?,Its architecture and governance
The Amazon Rainforest is known for its biodiversity. It is the largest tropical rainforest in the world.,What is the Amazon Rainforest known for?,Its biodiversity
